Summary,CI,AffectedEndUser,IncidentNumber,False_or_not,priority
situation MQ opened,TSA,System_generated,IN556589,y,3
situation MQ opened,TSA,System_generated,IN556590,y,1
The PsShutdown service is marked as an interactive service,TSA,System_generated,IN556591,y,5
situation MQ opened,DNL,System_generated,IN556592,y,3
situation MQ opened,CASTER,System_generated,IN556593,y,2
situation MQ opened,CASTER,System_generated,IN556594,y,3
The PsShutdown service is marked as an interactive service,DNL,System_generated,IN556595,y,4
The PsShutdown service is marked as an interactive service,CASTER,System_generated,IN556596,y,5
situation MQ opened,CASTER,System_generated,IN556597,y,1
The PsShutdown service is marked as an interactive service,CASTER,System_generated,IN556598,y,2
The PsShutdown service is marked as an interactive service,DNL,System_generated,IN556599,y,3
situation MQ opened,DNL,System_generated,IN556600,y,3
The PsShutdown service is marked as an interactive service,CASTER,System_generated,IN556601,y,4
The PsShutdown service is marked as an interactive service,TSA,System_generated,IN556602,y,4
The PsShutdown service is marked as an interactive service,DNL,System_generated,IN556603,y,4
The PsShutdown service is marked as an interactive service,TSA,System_generated,IN556604,y,4
situation MQ opened,DNL,System_generated,IN556605,y,4
The PsShutdown service is marked as an interactive service,TSA,System_generated,IN556606,y,4
The PsShutdown service is marked as an interactive service,CASTER,System_generated,IN556607,y,4
situation MQ opened,CASTER,System_generated,IN556608,y,4
The PsShutdown service is marked as an interactive service,TSA,System_generated,IN556609,y,4
The PsShutdown service is marked as an interactive service,DNL,System_generated,IN556610,y,4
situation MQ opened,TSA,System_generated,IN556611,y,5
The PsShutdown service is marked as an interactive service,TSA,System_generated,IN556612,y,5
situation MQ opened,DNL,System_generated,IN556613,y,5
situation MQ opened,CASTER,System_generated,IN556614,y,5
situation MQ opened,TSA,System_generated,IN556615,y,5
situation MQ opened,CASTER,System_generated,IN556616,y,5
situation MQ opened,TSA,System_generated,IN556617,y,1
The PsShutdown service is marked as an interactive service,CASTER,System_generated,IN556618,y,2
The PsShutdown service is marked as an interactive service,DNL,System_generated,IN556619,y,2
The PsShutdown service is marked as an interactive service,TSA,System_generated,IN556620,y,2
The PsShutdown service is marked as an interactive service,CASTER,System_generated,IN556621,y,2
situation MQ opened,CASTER,System_generated,IN556622,y,2
situation MQ opened,CASTER,System_generated,IN556623,y,2
situation MQ opened,DNL,System_generated,IN556624,y,2
situation MQ opened,TSA,System_generated,IN556625,y,2
situation MQ opened,DNL,System_generated,IN556626,y,2
situation MQ opened,TSA,System_generated,IN556627,y,3
The PsShutdown service is marked as an interactive service,DNL,System_generated,IN556628,y,3
situation MQ opened,CASTER,System_generated,IN556629,y,3
The PsShutdown service is marked as an interactive service,TSA,System_generated,IN556630,y,3
The PsShutdown service is marked as an interactive service,DNL,System_generated,IN556631,y,3
The PsShutdown service is marked as an interactive service,TSA,System_generated,IN556632,y,1
situation MQ opened,DNL,System_generated,IN556633,y,3
The PsShutdown service is marked as an interactive service,TSA,System_generated,IN556634,y,1
situation MQ opened,CASTER,System_generated,IN556635,y,1
situation MQ opened,CASTER,System_generated,IN556636,y,1
situation MQ opened,DNL,System_generated,IN556637,y,1
situation MQ opened,CASTER,System_generated,IN556638,y,1
The PsShutdown service is marked as an interactive service,DNL,System_generated,IN556639,y,2
The PsShutdown service is marked as an interactive service,CASTER,System_generated,IN556640,y,2
The PsShutdown service is marked as an interactive service,TSA,System_generated,IN556641,y,2
situation MQ opened,TSA,System_generated,IN556642,y,2
situation MQ opened,TSA,System_generated,IN556643,y,2
The PsShutdown service is marked as an interactive service,DNL,System_generated,IN556644,y,2
situation MQ opened,CASTER,System_generated,IN556645,y,4
situation MQ opened,CASTER,System_generated,IN556646,y,4
Contrlm job Lxhhh267 failed,CASTER,System_generated,IN456547,n,4
Contrlm job Lxhhh268 failed,MARC,System_generated,IN456548,n,4
Contrlm job Lxhhh269 failed,CCAP,System_generated,IN456549,n,5
Contrlm job Lxhhh270 failed,VB,System_generated,IN456550,n,5
Contrlm job Lxhhh271 failed,SPEBR,System_generated,IN456551,n,1
Contrlm job Lxhhh272 failed,RAVENCC,System_generated,IN456552,n,3
Contrlm job Lxhhh273 failed,TSA,System_generated,IN456553,n,3
Contrlm job Lxhhh274 failed,MARC,System_generated,IN456554,n,3
Contrlm job Lxhhh275 failed,REVENCI,System_generated,IN456555,n,3
Contrlm job Lxhhh276 failed,SPEBR,System_generated,IN456556,n,3
Contrlm job Lxhhh277 failed,TSA,System_generated,IN456557,n,3
Contrlm job Lxhhh278 failed,VB,System_generated,IN456558,n,3
Contrlm job Lxhhh279 failed,VB,System_generated,IN456559,n,3
Contrlm job Lxhhh280 failed,REVENESB,System_generated,IN456560,n,3
Contrlm job Lxhhh281 failed,DNL,System_generated,IN456561,n,3
Contrlm job Lxhhh282 failed,SPEBR,System_generated,IN456562,n,3
Contrlm job Lxhhh283 failed,REVENCI,System_generated,IN456563,n,3
Contrlm job Lxhhh284 failed,RAVENCC,System_generated,IN456564,n,3
Contrlm job Lxhhh285 failed,MARC,System_generated,IN456565,n,3
Contrlm job Lxhhh286 failed,RAVENAT,System_generated,IN456566,n,3
Contrlm job Lxhhh287 failed,CASTER,System_generated,IN456567,n,3
Contrlm job Lxhhh288 failed,CCAP,System_generated,IN456568,n,3
Contrlm job Lxhhh289 failed,VB,System_generated,IN456569,n,3
Contrlm job Lxhhh290 failed,RAVENAT,System_generated,IN456570,n,3
Contrlm job Lxhhh291 failed,VB,System_generated,IN456571,n,3
Contrlm job Lxhhh292 failed,MARC,System_generated,IN456572,n,3
Contrlm job Lxhhh293 failed,SPEBR,System_generated,IN456573,n,3
Contrlm job Lxhhh294 failed,SPEBR,System_generated,IN456574,n,3
Contrlm job Lxhhh295 failed,NEM,System_generated,IN456575,n,3
Contrlm job Lxhhh296 failed,RAVENAT,System_generated,IN456576,n,3
Contrlm job Lxhhh297 failed,MARC,System_generated,IN456577,n,3
Contrlm job Lxhhh298 failed,SPEBR,System_generated,IN456578,n,3
Contrlm job Lxhhh299 failed,RAVENAT,System_generated,IN456579,n,3
Contrlm job Lxhhh300 failed,OMM,System_generated,IN456580,n,3
Contrlm job Lxhhh301 failed,REVENESB,System_generated,IN456581,n,3
Contrlm job Lxhhh302 failed,REVENCI,System_generated,IN456582,n,3
Contrlm job Lxhhh303 failed,SPEBR,System_generated,IN456583,n,3
Contrlm job Lxhhh304 failed,MARC,System_generated,IN456584,n,3
Contrlm job Lxhhh305 failed,RAVENAT,System_generated,IN456585,n,3
Contrlm job Lxhhh306 failed,NEM,System_generated,IN456586,n,3
Contrlm job Lxhhh307 failed,TSA,System_generated,IN456587,n,3
Contrlm job Lxhhh308 failed,GRECA,System_generated,IN456588,n,3
Contrlm job Lxhhh309 failed,NEM,System_generated,IN456589,n,3
Contrlm job Lxhhh310 failed,RAVENCC,System_generated,IN456590,n,3
Contrlm job Lxhhh311 failed,CCAP,System_generated,IN456591,n,3
Contrlm job Lxhhh312 failed,OMM,System_generated,IN456592,n,3
Contrlm job Lxhhh313 failed,TSA,System_generated,IN456593,n,3
Contrlm job Lxhhh314 failed,CCAP,System_generated,IN456594,n,3
Contrlm job Lxhhh315 failed,CCAP,System_generated,IN456595,n,3
Contrlm job Lxhhh316 failed,REVENESB,System_generated,IN456596,n,3
Contrlm job Lxhhh317 failed,RAVENCC,System_generated,IN456597,n,3
Contrlm job Lxhhh318 failed,CCAP,System_generated,IN456598,n,3
Contrlm job Lxhhh319 failed,CASTER,System_generated,IN456599,n,3
Contrlm job Lxhhh320 failed,TSA,System_generated,IN456600,n,3
Contrlm job Lxhhh321 failed,DNL,System_generated,IN456601,n,3
Contrlm job Lxhhh322 failed,OMM,System_generated,IN456602,n,3
Contrlm job Lxhhh323 failed,NEM,System_generated,IN456603,n,3
Contrlm job Lxhhh324 failed,MARC,System_generated,IN456604,n,3
Contrlm job Lxhhh325 failed,REVENESB,System_generated,IN456605,n,3
Contrlm job Lxhhh326 failed,REVENCI,System_generated,IN456606,n,3
Contrlm job Lxhhh327 failed,REVENCI,System_generated,IN456607,n,3
Contrlm job Lxhhh328 failed,DNL,System_generated,IN456608,n,3
Contrlm job Lxhhh329 failed,CCAP,System_generated,IN456609,n,3
Contrlm job Lxhhh330 failed,REVENESB,System_generated,IN456610,n,3
Contrlm job Lxhhh331 failed,MARC,System_generated,IN456611,n,3
Contrlm job Lxhhh332 failed,NEM,System_generated,IN456612,n,3
Contrlm job Lxhhh333 failed,MARC,System_generated,IN456613,n,3
Contrlm job Lxhhh334 failed,GRECA,System_generated,IN456614,n,3
Contrlm job Lxhhh335 failed,CCAP,System_generated,IN456615,n,3
Contrlm job Lxhhh336 failed,NEM,System_generated,IN456616,n,3
Contrlm job Lxhhh337 failed,REVENESB,System_generated,IN456617,n,3
Contrlm job Lxhhh338 failed,REVENCI,System_generated,IN456618,n,3
Contrlm job Lxhhh339 failed,SPEBR,System_generated,IN456619,n,3
Contrlm job Lxhhh340 failed,OMM,System_generated,IN456620,n,3
Contrlm job Lxhhh341 failed,REVENESB,System_generated,IN456621,n,3
Contrlm job Lxhhh342 failed,SPEBR,System_generated,IN456622,n,3
Contrlm job Lxhhh343 failed,REVENCI,System_generated,IN456623,n,3
Contrlm job Lxhhh344 failed,RAVENCC,System_generated,IN456624,n,3
Contrlm job Lxhhh345 failed,REVENESB,System_generated,IN456625,n,3
Contrlm job Lxhhh346 failed,VB,System_generated,IN456626,n,3
Contrlm job Lxhhh347 failed,CASTER,System_generated,IN456627,n,3
Contrlm job Lxhhh348 failed,MARC,System_generated,IN456628,n,3
Contrlm job Lxhhh349 failed,VB,System_generated,IN456629,n,3
Contrlm job Lxhhh350 failed,REVENCI,System_generated,IN456630,n,3
Contrlm job Lxhhh351 failed,OMM,System_generated,IN456631,n,3
Contrlm job Lxhhh352 failed,GRECA,System_generated,IN456632,n,3
Contrlm job Lxhhh353 failed,REVENCI,System_generated,IN456633,n,3
Contrlm job Lxhhh354 failed,MARC,System_generated,IN456634,n,3
Contrlm job Lxhhh355 failed,REVENCI,System_generated,IN456635,n,3
Contrlm job Lxhhh356 failed,RAVENAT,System_generated,IN456636,n,3
Contrlm job Lxhhh357 failed,VB,System_generated,IN456637,n,3
Contrlm job Lxhhh358 failed,CASTER,System_generated,IN456638,n,3
Contrlm job Lxhhh359 failed,RAVENCC,System_generated,IN456639,n,3
Contrlm job Lxhhh360 failed,REVENESB,System_generated,IN456640,n,3
Contrlm job Lxhhh361 failed,TSA,System_generated,IN456641,n,3
Contrlm job Lxhhh362 failed,TSA,System_generated,IN456642,n,3
Contrlm job Lxhhh363 failed,DNL,System_generated,IN456643,n,3
Contrlm job Lxhhh364 failed,OMM,System_generated,IN456644,n,3
Contrlm job Lxhhh365 failed,MARC,System_generated,IN456645,n,3
Contrlm job Lxhhh366 failed,TSA,System_generated,IN456646,n,3
Need new account on accounting expense system,CASTER,Human Resources,IN356547,n,4
IDE licenses,MARC,Media Relations,IN356548,n,4
Need admin access to Marketing project,CASTER,Tech Support,IN356549,n,4
IDE licenses,TSA,Legal Department,IN356550,n,4
How do I connect to the file server?,SPEBR,Accounting,IN356551,n,4
Need 3 laptops for demo,RAVENCC,Legal Department,IN356552,n,4
Phone redirect for mdavis,OMM,Legal Department,IN356553,n,4
Extra monitor,CASTER,Advertising,IN356554,n,5
Printing on level 5 doesn't work,NEM,System_generated,IN356555,n,5
Intranet down?,REVENESB,Customer Service,IN356556,n,5
WFH on friday,NEM,Customer Relations,IN356557,n,2
Printing on level 5 doesn't work,GRECA,Human Resources,IN356558,n,2
Some gadgets on my JIRA dashboard seem to be broken,TSA,Media Relations,IN356559,n,2
The printer is not working,NEM,Research and Development,IN356560,n,2
Intranet server offline,GRECA,Tech Support,IN356561,n,2
Can't access Intranet on mobile phone,NEM,Finances,IN356562,n,3
How do I connect to the file server?,CASTER,Asset Management,IN356563,n,1
The printer is not working,TSA,Customer Service,IN356564,n,1
Intranet down?,REVENCI,Finances,IN356565,n,1
Need an ergonomic keyboard,SPEBR,Advertising,IN356566,n,1
New employee Jim,RAVENCC,Sales and Marketing,IN356567,n,2
A second monitor,VB,Quality Assurance,IN356568,n,2
New employee David Chen,REVENCI,Accounting,IN356569,n,2
Can't access Intranet on mobile phone,RAVENAT,Finances,IN356570,n,2
Guest wifi for Jane from ABC Corp,RAVENCC,Finances,IN356571,n,3
Some gadgets on my JIRA dashboard seem to be broken,CCAP,Public Relations,IN356572,n,4
Printing on level 5 doesn't work,GRECA,Legal Department,IN356573,n,5
New employee David Chen,MARC,Accounting,IN356574,n,4
Wireless dongle,RAVENAT,Tech Support,IN356575,n,4
Intranet server offline,DNL,Advertising,IN356576,n,4
Need a new cable to connect laptop to monitors,REVENESB,Finances,IN356577,n,4
WFH on friday,SPEBR,Payroll,IN356578,n,4
Can't access Intranet on mobile phone,SPEBR,Payroll,IN356579,n,4
A second monitor,SPEBR,Quality Assurance,IN356580,n,4
Screenshot / video recording software,TSA,System_generated,IN356581,n,4
Phone redirect for mdavis,GRECA,Human Resources,IN356582,n,4
Laptop screen blinks,NEM,Finances,IN356583,n,4
VPN access request,NEM,Media Relations,IN356584,n,5
VPN access request,NEM,Tech Support,IN356585,n,5
Can't see Intranet,OMM,Quality Assurance,IN356586,n,5
A second monitor,SPEBR,Customer Service,IN356587,n,5
Photo editing software request,TSA,Payroll,IN356588,n,5
IDE licenses,MARC,Advertising,IN356589,n,5
New employee Jim,REVENESB,Finances,IN356590,n,5
Wireless router not working,GRECA,Quality Assurance,IN356591,n,4
Laptop screen blinks,REVENESB,Customer Relations,IN356592,n,4
The printer is not working,RAVENCC,Tech Support,IN356593,n,4
The printer is not working,RAVENAT,Public Relations,IN356594,n,4
Cannot turn on my laptop,OMM,Customer Relations,IN356595,n,4
Cannot access intranet,DNL,Legal Department,IN356596,n,4
Guest wifi access for dev meetup,REVENESB,Customer Relations,IN356597,n,4
Need a new cable to connect laptop to monitors,GRECA,Customer Service,IN356598,n,3
Intranet down?,CCAP,Human Resources,IN356599,n,4
Photo editing software request,REVENESB,Sales and Marketing,IN356600,n,4
Wireless dongle,DNL,Customer Relations,IN356601,n,4
New employee Ryan Silva,REVENESB,System_generated,IN356602,n,3
New employee Jim,SPEBR,Accounting,IN356603,n,4
2 laptops for demo,MARC,Advertising,IN356604,n,3
A second monitor,CASTER,Advertising,IN356605,n,3
The printer is not working,GRECA,Accounting,IN356606,n,4
VPN access request,DNL,Tech Support,IN356607,n,4
Phone redirect for mdavis,VB,Advertising,IN356608,n,4
Email requests enabled,RAVENCC,Payroll,IN356609,n,4
Need 3 laptops for demo,REVENCI,Asset Management,IN356610,n,4
Phone redirect for mdavis,DNL,Payroll,IN356611,n,4
VPN access request,RAVENCC,Advertising,IN356612,n,4
Visitor wifi access,MARC,Advertising,IN356613,n,4
New employee David Chen,REVENESB,Media Relations,IN356614,n,5
Laptop screen blinks,SPEBR,Media Relations,IN356615,n,5
The printer is not working,CASTER,Legal Department,IN356616,n,5
Intranet down?,VB,Tech Support,IN356617,n,5
New employee Jim,CASTER,Accounting,IN356618,n,5
I cannot login to our HR system,CASTER,Tech Support,IN356619,n,5
What am I looking at?,SPEBR,Advertising,IN356620,n,5
Cannot access intranet,REVENESB,Media Relations,IN356621,n,4
Payroll system DB upgrade,MARC,Public Relations,IN356622,n,4
Need admin access to Marketing project,MARC,Legal Department,IN356623,n,4
Need an ergonomic keyboard,RAVENCC,Media Relations,IN356624,n,4
Cannot turn on my laptop,CCAP,Tech Support,IN356625,n,4
New employee David Chen,SPEBR,Customer Service,IN356626,n,4
Cannot turn on my laptop,REVENESB,Human Resources,IN356627,n,4
Screenshot / video recording software,DNL,Asset Management,IN356628,n,4
Need 3 laptops for demo,RAVENCC,Finances,IN356629,n,4
Typo on the public website,MARC,Quality Assurance,IN356630,n,4
Typo on the public website,RAVENCC,Accounting,IN356631,n,4
VC not working in meeting room X,REVENESB,Human Resources,IN356632,n,5
Need an ergonomic keyboard,DNL,Sales and Marketing,IN356633,n,5
Guest wifi for Jane from ABC Corp,REVENCI,Accounting,IN356634,n,5
Intranet down?,NEM,Asset Management,IN356635,n,5
I cannot login to our HR system,CASTER,Human Resources,IN356636,n,3
Need 3 laptops for demo,CASTER,Legal Department,IN356637,n,3
Email requests enabled,SPEBR,Human Resources,IN356638,n,3
Payroll system DB upgrade,TSA,Legal Department,IN356639,n,3
Cannot access intranet,GRECA,Customer Service,IN356640,n,3
Migrate intranet server,REVENESB,Payroll,IN356641,n,3
Photo editing software request,DNL,Finances,IN356642,n,3
New employee Ryan Silva,RAVENAT,Advertising,IN356643,n,3
I cannot login to our HR system,DNL,Sales and Marketing,IN356644,n,3
The printer is not working,CCAP,Legal Department,IN356645,n,4
Guest wifi for Jane from ABC Corp,CCAP,Sales and Marketing,IN356646,n,3
Contrlm job Lxhhh267 failed,CASTER,System_generated,IN356647,n,4
Contrlm job Lxhhh268 failed,MARC,System_generated,IN356648,n,4
Contrlm job Lxhhh269 failed,CCAP,System_generated,IN356649,n,5
Contrlm job Lxhhh270 failed,VB,System_generated,IN356650,n,5
Contrlm job Lxhhh271 failed,SPEBR,System_generated,IN356651,n,1
Contrlm job Lxhhh272 failed,RAVENCC,System_generated,IN356652,n,3
Contrlm job Lxhhh273 failed,TSA,System_generated,IN356653,n,3
Contrlm job Lxhhh274 failed,MARC,System_generated,IN356654,n,3
Contrlm job Lxhhh275 failed,REVENCI,System_generated,IN356655,n,3
Contrlm job Lxhhh276 failed,SPEBR,System_generated,IN356656,n,3
Contrlm job Lxhhh277 failed,TSA,System_generated,IN356657,n,3
Contrlm job Lxhhh278 failed,VB,System_generated,IN356658,n,3
Contrlm job Lxhhh279 failed,VB,System_generated,IN356659,n,3
Contrlm job Lxhhh280 failed,REVENESB,System_generated,IN356660,n,3
Contrlm job Lxhhh281 failed,DNL,System_generated,IN356661,n,3
Contrlm job Lxhhh282 failed,SPEBR,System_generated,IN356662,n,3
Contrlm job Lxhhh283 failed,REVENCI,System_generated,IN356663,n,3
Contrlm job Lxhhh284 failed,RAVENCC,System_generated,IN356664,n,3
Contrlm job Lxhhh285 failed,MARC,System_generated,IN356665,n,3
Contrlm job Lxhhh286 failed,RAVENAT,System_generated,IN356666,n,3
Contrlm job Lxhhh287 failed,CASTER,System_generated,IN356667,n,3
Contrlm job Lxhhh288 failed,CCAP,System_generated,IN356668,n,3
Contrlm job Lxhhh289 failed,VB,System_generated,IN356669,n,3
Contrlm job Lxhhh290 failed,RAVENAT,System_generated,IN356670,n,3
Contrlm job Lxhhh291 failed,VB,System_generated,IN356671,n,3
Contrlm job Lxhhh292 failed,MARC,System_generated,IN356672,n,3
Contrlm job Lxhhh293 failed,SPEBR,System_generated,IN356673,n,3
Contrlm job Lxhhh294 failed,SPEBR,System_generated,IN356674,n,3
Contrlm job Lxhhh295 failed,NEM,System_generated,IN356675,n,3
Contrlm job Lxhhh296 failed,RAVENAT,System_generated,IN356676,n,3
Contrlm job Lxhhh297 failed,MARC,System_generated,IN356677,n,3
Contrlm job Lxhhh298 failed,SPEBR,System_generated,IN356678,n,3
Contrlm job Lxhhh299 failed,RAVENAT,System_generated,IN356679,n,3
Contrlm job Lxhhh300 failed,OMM,System_generated,IN356680,n,3
Contrlm job Lxhhh301 failed,REVENESB,System_generated,IN356681,n,3
Contrlm job Lxhhh302 failed,REVENCI,System_generated,IN356682,n,3
Contrlm job Lxhhh303 failed,SPEBR,System_generated,IN356683,n,3
Contrlm job Lxhhh304 failed,MARC,System_generated,IN356684,n,3
Contrlm job Lxhhh305 failed,RAVENAT,System_generated,IN356685,n,3
Contrlm job Lxhhh306 failed,NEM,System_generated,IN356686,n,3
